handle,possibly_sensitive_avg_of_nonreply_tweets,is_retweet_avg_of_nonreply_tweets,contains_quote_avg_of_nonreply_tweets,num_referenced_tweets_avg_of_nonreply_tweets,num_hashtags_avg_of_nonreply_tweets,num_mentions_avg_of_nonreply_tweets,num_cashtags_avg_of_nonreply_tweets,num_polls_avg_of_nonreply_tweets,interaction_score_avg_of_nonreply_tweets,lang_mode_of_nonreply_tweets,reply_settings_mode_of_nonreply_tweets,source_mode_of_nonreply_tweets,possibly_sensitive_avg_of_reply_tweets,is_retweet_avg_of_reply_tweets,contains_quote_avg_of_reply_tweets,num_referenced_tweets_avg_of_reply_tweets,num_hashtags_avg_of_reply_tweets,num_mentions_avg_of_reply_tweets,num_cashtags_avg_of_reply_tweets,num_polls_avg_of_reply_tweets,tweet_word_count_avg_of_reply_tweets,lang_mode_of_reply_tweets,reply_settings_mode_of_reply_tweets,source_mode_of_reply_tweets,replyPercentage,following_count,verified,protected,created_at,hasPinnedTweet,urlsInDescription,hashtagsInDescription,userWebsitesAdded,cashtagsInDescription,mentionsInDescription
Applebees,0.0012515644555694619,0.0050062578222778474,0.02753441802252816,0.058823529411764705,0.24405506883604505,0.07384230287859825,0.0,0.056320400500625784,0.00034254477823331304,en,everyone,Sprinklr Publishing,0.0,0.0,0.0375,0.9,0.05,1.0125,0.0,0.0625,24.6375,en,everyone,Sprinklr Publishing,0.8625,210,True,False,2009-09-15T13:54:34.000Z,False,0,0,1,0,0
Arbys,0.0,0.3035264483627204,0.07682619647355164,0.44836272040302266,0.3060453400503778,0.6511335012594458,0.0,0.007556675062972292,0.0018453211679773888,en,everyone,Twitter for iPhone,0.0,0.0375,0.025,0.8375,0.025,0.9875,0.0,0.0,15.8,en,everyone,Twitter for iPhone,0.775,67945,True,False,2010-06-14T12:37:06.000Z,False,0,0,1,0,1
AuntieAnnes,0.0,0.2240506329113924,0.14303797468354432,0.4189873417721519,0.11265822784810127,0.5303797468354431,0.0,0.020253164556962026,0.0029562890429349928,en,everyone,Sprout Social,0.0,0.0375,0.0375,0.7375,0.0125,1.0375,0.0,0.0,9.7125,en,everyone,Twitter Web App,0.6625,32221,True,False,2009-04-27T13:15:55.000Z,False,0,0,1,0,0
BWWings,0.0,0.10513141426783479,0.05506883604505632,0.311639549436796,0.28410513141426785,0.392991239048811,0.0,0.09762202753441802,0.0036027069721437216,en,everyone,Twitter Web App,0.0,0.0125,0.0,0.675,0.05,1.025,0.0,0.0125,10.1,en,everyone,Twitter Web App,0.6625,490,True,False,2011-06-10T16:21:09.000Z,False,0,0,1,0,1
BajaFresh,0.0,0.16559691912708602,0.014120667522464698,0.18998716302952504,1.1617458279845956,0.2991014120667522,0.0,0.0038510911424903724,8.374438150498249e-05,en,everyone,Sprout Social,0.0,0.0,0.0,0.6,0.0,0.675,0.0,0.0,27.2125,en,everyone,Sprout Social,0.6,37829,False,False,2009-06-23T15:14:59.000Z,False,1,0,1,0,0
BaskinRobbins,0.0,0.03,0.0175,0.0675,0.175,0.1275,0.0,0.02,0.0007389163844750763,en,everyone,Twitter Web App,0.0,0.025,0.0,0.65,0.0125,0.65,0.0,0.0125,13.025,en,everyone,Twitter Web App,0.625,8866,True,False,2008-04-30T15:13:26.000Z,False,0,0,1,0,0
BlazePizza,0.0,0.07133917396745933,0.1539424280350438,0.2816020025031289,0.32290362953692114,0.2753441802252816,0.0,0.007509386733416771,0.0015721674511236484,en,everyone,Sprout Social,0.0,0.0,0.0,0.9875,0.0125,1.125,0.0,0.0,4.45,en,everyone,Sprout Social,0.9875,16092,True,False,2012-01-09T19:54:57.000Z,False,0,0,1,0,0
BobEvansFarms,0.0,0.4122938530734633,0.0704647676161919,0.48875562218890556,0.34182908545727136,0.6986506746626686,0.0,0.008995502248875561,0.0015640564343035468,en,everyone,Twitter Web Client,0.0,0.2875,0.0,0.8125,0.1875,1.2875,0.0,0.0,16.2375,en,everyone,Twitter for iPhone,0.525,2668,True,False,2009-02-18T15:17:00.000Z,False,0,0,1,0,0
Bojangles,0.0,0.13266583229036297,0.07759699624530664,0.32040050062578224,0.23028785982478098,0.4856070087609512,0.0,0.03128911138923655,0.003449350825026464,en,everyone,Twitter for iPhone,0.0,0.1,0.0125,0.8125,0.0875,0.9625,0.0,0.0,13.7,en,everyone,Sprinklr Publishing,0.7,6544,True,False,2008-08-14T20:36:08.000Z,False,0,0,1,0,0
BonefishGrill,0.0,0.21573604060913706,0.008883248730964468,0.22842639593908629,0.6560913705583756,0.4365482233502538,0.0,0.011421319796954314,0.0005866947491312555,en,everyone,Khoros Publishing,0.0,0.075,0.0,0.325,0.15,0.4375,0.0,0.0125,18.0875,en,everyone,Sprout Social,0.25,1242,True,False,2009-04-28T13:38:40.000Z,False,0,0,1,0,0
