,following_count,tweet_count,followers_count,listed_count,username,name,id,verified,protected,created_at,description,hasPinnedTweet,urlsInDescription,hashtagsInDescription,userWebsitesAdded,cashtagsInDescription,mentionsInDescription
0,18747,64200,19595,255,Schlotzskys,Schlotzsky's,18464555,True,False,2008-12-30T00:38:15.000Z,Original. Bold. Authentic. Unapologetic...since 1971,False,0,0,1,0,0
1,32224,88521,65015,724,AuntieAnnes,Auntie Anne's,35737873,True,False,2009-04-27T13:15:55.000Z,Merry Snackmas 🥨🎄,False,0,0,1,0,0
2,560,6980,3548,56,SaltgrassSteak,Saltgrass Steakhouse,155609754,False,False,2010-06-14T16:25:19.000Z,"You don't have to be from Texas to like us, but you do have to appreciate a darn fine steak.",False,0,0,1,0,0
3,326,45998,336595,1099,redlobster,Red Lobster,6018732,True,False,2007-05-14T00:19:37.000Z,"Our tweets are like our seafood, fresh! #RedLobster",False,0,1,1,0,0
4,2800,16402,74492,671,Hardees,Hardee’s,16101657,True,False,2008-09-02T19:35:31.000Z,Got biscuits on my mind,False,0,0,0,0,0
5,366,3947,7395,96,RuthsChris,Ruth's Chris,705528727,True,False,2012-07-19T18:14:06.000Z,"Ruth’s legacy lives on through our sizzling steaks, award-winning wine list of 200+ wines & signature handcrafted cocktails. #RuthsChris",False,0,1,1,0,0
6,3282,51878,89330,272,LongHornSteaks,LongHorn Steakhouse,2496915103,True,False,2014-05-15T18:31:50.000Z,You don't need a reason to eat steak. Just a place that gets it right.,False,0,0,1,0,0
7,393,42244,91896,1305,FiveGuys,Five Guys,18194079,True,False,2008-12-17T17:33:31.000Z,Five Guys Burgers and Fries (and tweets!) Order online with the Five Guys app and choose pick up or delivery! https://t.co/ZiGReULsjj,False,1,0,1,0,0
8,210,705183,599583,2791,Applebees,Applebee's Grill + Bar,74452613,True,False,2009-09-15T13:54:34.000Z,Welcome to the neighborhood. We'll save you a booth.,False,0,0,1,0,0
9,3924,24793,34512,413,DelTaco,Del Taco Restaurants,89840669,True,False,2009-11-14T01:23:29.000Z,Tweets From Official Del Taco,False,0,0,1,0,0
10,9072,29069,88480,1391,PFChangs,P.F. Chang's,17547594,True,False,2008-11-21T22:32:45.000Z,"At P.F. Chang's, we're changing how the culinary spirit of Asia is brought to the world",False,0,0,1,0,0
11,1242,9901,27028,492,BonefishGrill,Bonefish Grill,36066092,True,False,2009-04-28T13:38:40.000Z,Get hooked on new seasonal specials that will keep you craving more ⬇️,False,0,0,1,0,0
12,156,7905,7001,121,Charleys,Charleys Cheesesteaks,15727983,False,False,2008-08-04T21:14:25.000Z,"Cheesesteaks, fries, lemonade. Quenching your cravings since 1986.",False,0,0,1,0,0
13,177,8159,9876,176,EinsteinBros,Einstein Bros.,59834052,True,False,2009-07-24T17:10:18.000Z,"Official Twitter for Einstein Bros. Bagels - The friendly, neighborhood gathering place for good conversation and fresh-baked bagels.",False,0,0,1,0,0
14,6639,65032,49563,745,qdoba,QDOBA,19622973,True,False,2009-01-27T23:00:49.000Z,It's pronounced cue-dough-bah.,False,0,0,1,0,0
15,4407,76038,61414,1056,torchystacos,Torchy's Tacos,22808670,True,False,2009-03-04T18:06:19.000Z,"Damn Good Tacos is not a tagline. It is a warning. Addictions are not cheap. Get your taco fix for dine-in, pickup, or delivery 🌮",False,0,0,1,0,0
16,3,17531,80511,450,raisingcanes,Raising Cane's,28172701,True,False,2009-04-01T19:22:50.000Z,Our ONE LOVE® is quality Chicken Finger meals,False,0,0,0,0,0
17,13341,38822,354509,1918,Cheesecake,The Cheesecake Factory 🍰,32152579,True,False,2009-04-16T21:05:57.000Z,Saving the characters for our menu.,False,0,0,1,0,0
18,4988,58407,115857,756,WaffleHouse,Waffle House,22933669,True,False,2009-03-05T15:45:44.000Z,Serving Good Food Fast® since 1955,True,0,0,1,0,0
19,1191,27249,27809,201,CheckersRallys,Checkers and Rally's,114507384,True,False,2010-02-15T17:07:11.000Z,"Our fries are better than yours. Yeah, we said, what we said.",False,0,0,1,0,0
20,1272,21087,20480,198,SmoothieKing,Smoothie King,14263661,True,False,2008-03-31T04:56:14.000Z,"Smoothies masterfully crafted to help you achieve your health and fitness goals, and #RuleTheDay.  https://t.co/mY2ZWjBnRU",True,1,1,1,0,0
